lat,long,tp_num,tp_name,type,height_m,height_ft,nat_park (eng only)
50.4080992024379,-3.78855702561397,TP2789,Diptford,Pillar,184.6,605.8,
55.7866754996992,-2.48298802830027,TP2790,Dirrington Great Law,Pillar,398.7,1308.0,
50.7610122102408,-4.5998711599995,TP2791,Dizzard Point,Pillar,164.6,540.0,
55.2614931570434,-3.05988301931147,TP2792,Dod Fell,Pillar,463.6,1521.0,
55.5786303430777,-1.99067837205149,TP2793,Dod Law,Pillar,200.0,656.0,
54.3444762443761,-1.26232438937414,TP2794,Dodd End,Pillar,399.6,1311.0,north yorks moors
54.2567051218142,-2.24563893268321,TP2795,Dodd Fell,Pillar,668.4,2193.0,yorkshire dales
55.616439189732,-2.01892992214393,TP2796,Doddington,Pillar,179.5,589.0,
53.1391458655234,-2.94963427061788,TP2797,Dodleston Gorse,Pillar,17.8,58.4,
50.2206885352008,-4.80238227987322,TP2798,Dodman,Pillar,114.0,373.9,
55.8600756223732,-2.93022656456494,TP2799,Dodridge Law,Pillar,224.2,735.6,
53.8388026071139,-2.49274314778939,TP2800,Doe Hill,Pillar,144.6,474.5,
51.6063535085389,0.495119742331271,TP2801,Doeshill,Pillar,38.5,126.3,
51.6122359449793,0.135416992280192,TP2802,Dog Kennel Hill,Pillar,84.5,277.2,
53.0606004453011,-0.18570045880209,TP2803,Dogdyke,Pillar,4.7,15.6,
52.7302849220708,-0.391056679134868,TP2804,Dole Wood Resr,Pillar,51.1,167.6,
55.5372857443916,-3.30390123642231,TP2805,Dollar Law,Pillar,817.8,2683.0,
55.4260688906609,-2.50442397944856,TP2806,Dolphinston,Pillar,233.9,767.4,
52.239880857096,-3.44342854094599,TP2807,Dol-Y-Fan Hill,Pillar,380.1,1247.0,
52.8330587487568,-1.34302388669509,TP2808,Donington Resr,Pillar,97.0,318.1,
55.9729111583187,-2.50656877181534,TP2809,Doon Hill,Pillar,0.0,0.0,
54.9574517764687,-4.49415876077256,TP2810,Doon Hill,Pillar,79.5,260.9,
53.0215041072188,-1.11542514345579,TP2811,Dorket Head,Pillar,146.7,481.2,
50.3829972067455,-4.05770381966239,TP2812,Dorsmouth Rock,Pillar,95.8,314.3,
51.4100499733262,-1.17324595513305,TP2813,Douai,Pillar,114.2,374.5,
55.9668149778991,-4.48934624355927,TP2814,Doughnot Hill,Pillar,374.6,1229.0,
53.1731777540616,-4.1104705721393,TP2815,Douglas Hill,Pillar,396.9,1302.0,
51.1749582093446,-2.51918099926693,TP2816,Doulting,Pillar,215.3,706.5,
56.1362505393259,-4.75240996230565,TP2817,Doune Hill,Pillar,734.3,2409.0,
55.3143335775549,-2.32356134663147,TP2818,Dour Hill,Pillar,415.1,1362.0,northumberland
52.4562803415274,1.11445616854969,TP2819,Dove Farm,Pillar,0.0,0.0,
56.0545669653269,-3.40986431087239,TP2820,Dover Heights,Pillar,99.3,325.7,
51.095755807804,1.19497570038408,TP2821,Dover Hill,Pillar,170.6,559.6,
52.0570831938847,-1.79721270778296,TP2822,Dovers Hill,Pillar,225.1,738.5,
50.8852663554204,-2.17825663016335,TP2823,Down End Farm,Pillar,127.8,419.4,
54.9354061047804,-1.45551081697594,TP2824,Down Hill,Pillar,0.0,0.0,
51.6221462836955,-1.21403372686894,TP2825,Down Hill,Pillar,76.4,250.5,
50.79471354096,-4.20300994120964,TP2826,Downs,Pillar,194.4,637.7,
51.8451002318849,-1.69743828077324,TP2827,Downs Barn,Pillar,202.0,662.6,
52.417423863036,-1.08981513169312,TP2828,Downton Hill,Pillar,0.0,0.0,
50.7114433118125,-3.84947143618047,TP2829,Drascombe,Pillar,274.9,901.9,dartmoor
52.9598702017988,-2.01792674268825,TP2830,Draycott,Pillar,203.0,666.0,
