lat,long,tp_num,tp_name,type,height_m,height_ft,nat_park
53.3434598769177,-1.62455374668369,TP6150,Stanage Edge,Pillar,0,0,peak district
53.356143798222,-1.63060236861453,TP7411,Stanedge Pole,Intersected Station,624,2047.2,peak district
53.4010997189688,-1.88568592317525,TP6378,The Edge,Pillar,505.6,1658.8,peak district
53.1721303612003,-1.99985500703491,TP6422,The Roaches,Pillar,0,0,peak district
53.5276630469957,-1.85749938686672,TP0151,Upper Heyden,Surface Block,370.6,1216,peak district
53.2624503477158,-1.73384668561072,TP6739,Wardlow,Pillar,505,1656.8,peak district
53.435920136246,-1.80762104416193,TP6806,West End Moor,Pillar,500.5,1642,peak district
53.5756733005257,-1.88603216694066,TP6819,West Nab,Pillar,0,0,peak district
53.0956519803796,-1.83926084653235,TP9044,Wetton Church Tower Pinnacle,Intersected Station,322.5,1058.1,peak district
53.0897837511706,-1.83387751157115,TP6856,Wetton Low,Pillar,380.9,1249.5,peak district
53.2858769145384,-1.79385001844674,TP6863,Wheston,Pillar,365.1,1197.9,peak district
53.2790222073589,-1.60586169808951,TP6878,White Edge,Pillar,249.7,819.2,peak district
53.0671506755677,-1.72724594243026,TP6930,Wibben Hill,Pillar,462.7,1518,peak district
53.3623840927212,-1.72079803232629,TP6995,Winhill Pike,Pillar,388.1,1273.4,peak district
53.121906771625,-1.79666653178997,TP7019,Wolfscote Hill,Pillar,403.4,1323.3,peak district
53.2774631836729,-1.84068023319263,TP7072,Wormhill,Pillar,0,0,peak district
53.1759739924007,-1.68448559424715,TP9746,Youlgreave Church Tower Vane,Intersected Station,119,390.42,peak district
